date,year,line_number,station_code,station_name,passengers
2012-04-17,2012,4,NA,Luz,6333
2012-04-17,2012,4,NA,Paulista,27602
2012-04-17,2012,4,NA,Pinheiros,8476
2012-04-18,2012,4,NA,Butantã,55970
2012-04-18,2012,4,NA,Faria Lima,40340
2012-04-18,2012,4,NA,Luz,6169
2012-04-18,2012,4,NA,Paulista,27489
2012-04-18,2012,4,NA,Pinheiros,8346
2012-04-19,2012,4,NA,Butantã,56124
2012-04-19,2012,4,NA,Faria Lima,40544
2012-04-19,2012,4,NA,Luz,6479
2012-04-19,2012,4,NA,Paulista,27724
2012-04-19,2012,4,NA,Pinheiros,8487
2012-04-20,2012,4,NA,Butantã,57187
2012-04-20,2012,4,NA,Faria Lima,42463
2012-04-20,2012,4,NA,Luz,6627
2012-04-20,2012,4,NA,Paulista,27637
2012-04-20,2012,4,NA,Pinheiros,8400
2012-04-21,2012,4,NA,Butantã,23950
2012-04-21,2012,4,NA,Faria Lima,16021
2012-04-21,2012,4,NA,Luz,2805
2012-04-21,2012,4,NA,Paulista,6404
2012-04-21,2012,4,NA,Pinheiros,1597
2012-04-22,2012,4,NA,Butantã,15636
2012-04-22,2012,4,NA,Faria Lima,12547
2012-04-22,2012,4,NA,Luz,1277
2012-04-22,2012,4,NA,Paulista,4187
2012-04-22,2012,4,NA,Pinheiros,1433
2012-04-23,2012,4,NA,Butantã,55073
2012-04-23,2012,4,NA,Faria Lima,38824
2012-04-23,2012,4,NA,Luz,6100
2012-04-23,2012,4,NA,Paulista,26858
2012-04-23,2012,4,NA,Pinheiros,8078
2012-04-24,2012,4,NA,Butantã,54942
2012-04-24,2012,4,NA,Faria Lima,40095
2012-04-24,2012,4,NA,Luz,6353
2012-04-24,2012,4,NA,Paulista,27397
2012-04-24,2012,4,NA,Pinheiros,8505
2012-04-25,2012,4,NA,Butantã,55175
2012-04-25,2012,4,NA,Faria Lima,40152
2012-04-25,2012,4,NA,Luz,6418
2012-04-25,2012,4,NA,Paulista,27510
2012-04-25,2012,4,NA,Pinheiros,8432
2012-04-26,2012,4,NA,Butantã,54862
2012-04-26,2012,4,NA,Faria Lima,40852
2012-04-26,2012,4,NA,Luz,6300
2012-04-26,2012,4,NA,Paulista,27749
2012-04-26,2012,4,NA,Pinheiros,8410
2012-04-27,2012,4,NA,Butantã,57071
2012-04-27,2012,4,NA,Faria Lima,41794
